stageId,data.type,data.constants,data.answers
XZAKnwNEbKuDs2SGu,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""6AhmqtHqr3N9ASz4x"",""word"":""seeds outside vs. seeds inside""},{""name"":""KEBceBQFf5m4ZM4Sn"",""word"":""smooth vs. bumpy""}"
Y3utFm5skoZc67NSS,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""6AhmqtHqr3N9ASz4x"",""word"":""cold  vs. warm""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""baked dessert vs. cold dessert""},{""name"":""6AhmqtHqr3N9ASz4x"",""word"":""dish vs. no dish""},{""name"":""KEBceBQFf5m4ZM4Sn"",""word"":""eat with hand vs. eat with utensil""},{""name"":""CEuQknpPFXMM5NyYq"",""word"":""BAKED vs. FROZEN""}"
j8xsPvepubPPGeBdX,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""9joYHoDXjdsP24cGf"",""word"":""root  vs. veg""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""green vs. not green""},{""name"":""CEuQknpPFXMM5NyYq"",""word"":""veggie vs. fungus""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""can eat raw vs. must be cooked""},{""name"":""CEuQknpPFXMM5NyYq"",""word"":""root vs. vine""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""grows in ground vs. grows above ground""},{""name"":""6AhmqtHqr3N9ASz4x"",""word"":""colorful vs. white""},{""name"":""9joYHoDXjdsP24cGf"",""word"":""vita c vs. vita e""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""native to north america vs. not native to north america""},{""name"":""CEuQknpPFXMM5NyYq"",""word"":""eaten raw vs. needs to be cooked""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""leafy vs. non leafy""},{""name"":""ySixigRhqqAWPhrLb"",""word"":""single vs. multiple""}"
sTctRNStBdNQcqRLh,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""CEuQknpPFXMM5NyYq"",""word"":""sweet vs. tart""},{""name"":""ySixigRhqqAWPhrLb"",""word"":""domestic vs. tropical""},{""name"":""9joYHoDXjdsP24cGf"",""word"":""big vs. small""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""edible skin vs. inedible skin""},{""name"":""6AhmqtHqr3N9ASz4x"",""word"":""fuzzy vs. smooth""},{""name"":""CEuQknpPFXMM5NyYq"",""word"":""tree grown vs. ground vine""},{""name"":""KEBceBQFf5m4ZM4Sn"",""word"":""eat unpeeled vs. peel to eat""},{""name"":""6AhmqtHqr3N9ASz4x"",""word"":""pit vs. seeds""},{""name"":""CEuQknpPFXMM5NyYq"",""word"":""eaten as -is vs. needs prepared""},{""name"":""nJqTedZg54FCSSiZq"",""word"":""vine vs. branches""}"
NT4sgBvv3XnkF2i2h,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""m9xMu4AQPXfzomczR"",""word"":""Blue vs. Red""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""red vs. blue""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""sweet vs. sour""},{""name"":""m9xMu4AQPXfzomczR"",""word"":""Tart vs. Sweet""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""smooth vs. rough""},{""name"":""qB8cicmYRjSqahBqQ"",""word"":""seed vs. seedless""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""bumpy vs. smooth""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""round vs. non-round""}"
jyRpmta88ozEKH8di,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""m9xMu4AQPXfzomczR"",""word"":""Solid vs. Soft""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""liquid vs. solid""},{""name"":""m9xMu4AQPXfzomczR"",""word"":""Baked vs. Frozen""},{""name"":""qB8cicmYRjSqahBqQ"",""word"":""smooth vs. rough""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""cooked vs. raw""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""cold vs. warm""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""cold vs. warm""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""cold vs. hot""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""round vs. square""},{""name"":""qB8cicmYRjSqahBqQ"",""word"":""creamy vs. crunchy""}"
w6kMT6PanHfGjrAYL,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""qB8cicmYRjSqahBqQ"",""word"":""small vs. large""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""cooked vs. raw""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""crunchy vs. smooth""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""under ground vs. over ground""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""seeded vs. unseeded""},{""name"":""m9xMu4AQPXfzomczR"",""word"":""Green vs. White""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""round vs. not round""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""winter vs. summer""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""leafy vs. non-leafy""}"
EihQb2rtxCNw4GTeP,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""TPBW6cw8MkboRY9A9"",""word"":""ground vs. tree""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""melon vs. non-melon""},{""name"":""qB8cicmYRjSqahBqQ"",""word"":""sweet vs. sour""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""round vs. non-round""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""citrus vs. non-citrus""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""pit vs. no pit""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""large vs. small""},{""name"":""m9xMu4AQPXfzomczR"",""word"":""Crunchy vs. Soft""},{""name"":""cDuyF7WcCacqqurxQ"",""word"":""smooth vs. rough""},{""name"":""TPBW6cw8MkboRY9A9"",""word"":""edible skin vs. non-edible skin""},{""name"":""W5wuvi8WsFXfkmRG3"",""word"":""hard  vs. soft""},{""name"":""m9xMu4AQPXfzomczR"",""word"":""Rind vs. Pitted""}"
LsHzjnaY6mQWhHW3Y,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""vs.""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""vs.""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""vs.""},{""name"":""BSqAXRHFGhJQFejjz"",""word"":""hot  vs. cold""},{""name"":""BSqAXRHFGhJQFejjz"",""word"":""soft vs. hard""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""small vs. tall""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""small vs. tall""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""young vs. old""}"
wC25uECBbhzZWxJ6m,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""cold vs. warm""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""BSqAXRHFGhJQFejjz"",""word"":""green  vs. yellow""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""big vs. small""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""white vs. black""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""vs.""}"
c2mPPNgsgLzGCzB78,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""Z5dyXfndWLrijo2SX"",""word"":""lemon  vs. peach""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""short vs. long""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""apple  vs. orange""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""apple  vs. orange""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""apple  vs. orange""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""lemon vs. plum""},{""name"":""BSqAXRHFGhJQFejjz"",""word"":""red vs. yellow""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""apple vs. pear""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""apple  vs. orange""},{""name"":""Z5dyXfndWLrijo2SX"",""word"":""apple  vs. orange""},{""name"":""BSqAXRHFGhJQFejjz"",""word"":""pits inside  vs. pits outside""},{""name"":""t9CdqLwofzN7BAW2Y"",""word"":""guava vs. cantaloupe""}"
RFCP3MDiZsFjZjBEu,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""red vs. blue""},{""name"":""a6podpFrGJM89Kyny"",""word"":""tart vs. sweet""},{""name"":""a6podpFrGJM89Kyny"",""word"":""vine vs. bush""}"
rBe76tnjM4i4H8rFE,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""wRZmBcqF8NgGaKBLK"",""word"":""cold vs. hot""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""round vs. straight""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""soft vs. hard""},{""name"":""a6podpFrGJM89Kyny"",""word"":""firm vs. soft""},{""name"":""wRZmBcqF8NgGaKBLK"",""word"":""hand vs. utensil""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""white vs. brown""},{""name"":""a6podpFrGJM89Kyny"",""word"":""spicy vs. sweet""},{""name"":""a6podpFrGJM89Kyny"",""word"":""slice vs. hand held""}"
6FcXrMkEpBZf89CnP,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""orange vs. green""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""round vs. straight""},{""name"":""a6podpFrGJM89Kyny"",""word"":""white vs. colorful""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""oval vs. round""},{""name"":""a6podpFrGJM89Kyny"",""word"":""leafy vs. hard""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""tree vs. bush""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""white vs. green""},{""name"":""a6podpFrGJM89Kyny"",""word"":""ground vs. above ground""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""small vs. big""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""soft vs. hard""},{""name"":""a6podpFrGJM89Kyny"",""word"":""small vs. large""}"
MMdJESSgTQHvejmkj,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""sweet vs. sour""},{""name"":""a6podpFrGJM89Kyny"",""word"":""small vs. large""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""red vs. orange""},{""name"":""a6podpFrGJM89Kyny"",""word"":""sweet vs. tart""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""purple vs. green""},{""name"":""a6podpFrGJM89Kyny"",""word"":""sweet vs. sour""},{""name"":""a6podpFrGJM89Kyny"",""word"":""peel vs. no peel""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""seed vs. seedless""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""ground vs. above ground""},{""name"":""a6podpFrGJM89Kyny"",""word"":""multiple vs. single""},{""name"":""a6podpFrGJM89Kyny"",""word"":""pie vs. juice""},{""name"":""vDFsToDWoNrQ4JMEw"",""word"":""oval vs. round""}"
HsPy7cHFJQHvJGAeq,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""TqiDty6zPPoQLonBh"",""word"":""blue vs. red""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""sweet vs. bitter""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""seeds on outside vs. seeds on inside""}"
bipW4ABboMayrEebg,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""TqiDty6zPPoQLonBh"",""word"":""Frozen vs. non frozen""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Sweet vs. Savory""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""chocolate vs. non chocolate""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""pastry vs. gelatinous""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Icing vs. no icing""}"
cjTZChMmKemhzLNZx,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""TqiDty6zPPoQLonBh"",""word"":""Green vs. brown""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""root vegetable vs. above ground vegetable""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Fungus vs. non fungus""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Sweet vs. Not sweet""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Has a pit vs. Doesn't have a pit""}"
PWrL7PX4vKNxysXcr,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""TqiDty6zPPoQLonBh"",""word"":""Sweet vs. Sour""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Watery vs. Firm""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Grows on a vine vs. Grows on a tree""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Tropical vs. Non tropical""},{""name"":""TqiDty6zPPoQLonBh"",""word"":""Has many varieties vs. Doesn't have any varieties""}"
CpgXuiKRuSRGjaLBZ,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""RGpFqrgucxMLzD4RW"",""word"":""sweet vs. sour""},{""name"":""GYcoj8ps9xzckeBdX"",""word"":""red vs. blue""},{""name"":""RGpFqrgucxMLzD4RW"",""word"":""seeds vs. no seeds""}"
82vwGmXeNz7Y9NxrC,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""RGpFqrgucxMLzD4RW"",""word"":""creamy vs. doughy""},{""name"":""Q9bvDiejiaEtvQo2r"",""word"":""served hot vs. served chilled""},{""name"":""GYcoj8ps9xzckeBdX"",""word"":""hard vs. soft""},{""name"":""Q9bvDiejiaEtvQo2r"",""word"":""dairy vs. non-dairy""},{""name"":""RGpFqrgucxMLzD4RW"",""word"":""chocolate vs. non chocolate""},{""name"":""HMa6RGyYHAvwaY89y"",""word"":""Brownie vs. Blockee""},{""name"":""RGpFqrgucxMLzD4RW"",""word"":""crunchy vs. smooth""},{""name"":""Q9bvDiejiaEtvQo2r"",""word"":""eaten with hands vs. eaten with utensil""}"
grhQjECA3cgwF7Rqa,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""HMa6RGyYHAvwaY89y"",""word"":""Corn vs. Torn""}"
kh8YEtrChfsP2mure,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""RGpFqrgucxMLzD4RW"",""word"":""sweet vs. sour""},{""name"":""Q9bvDiejiaEtvQo2r"",""word"":""peelable vs. not peelable""}"
kdGTpJf6DW8qDYELB,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""blue vs. red""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""blue vs. black""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""sweet vs. tart""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""seeds vs. no seeds""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""juice berries vs. non juice berries""}"
GpYgMqu48Jpb46hE8,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""sweet  vs. savory""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""fruit dessert vs. non-fruit dessert""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""baked vs. non-baked""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""soft  vs. hard""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""frozen vs. non-frozen""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""hot vs. cold""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""eat with spoon vs. eat with fork""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""rough vs. smooth""}"
ugjFqWJA4RAbvHTQN,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""green vs. non-green vegetables""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""crunchy  vs. soft""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""pizza toppings vs. non-pizza toppings""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""grown underground vs. grown above ground""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""high in beta carotine vs. not high in beta cartonine""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""make you cry cutting them vs. don't make you cry cutting them""}"
4rCMPjFsophAqcCQh,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""tropical fruits vs. not tropical fruits""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""eat the rind vs. don't eat the rind""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""tree grown vs. ground grown""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""lighter than a baseball vs. heavier than a baseball""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""no pits vs. pits""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""ripen after picking vs. don't ripen after picking""},{""name"":""FQgzrcmLEYGjAuXZo"",""word"":""tart vs. sweet""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""pizza toppings vs. not pizza toppings""},{""name"":""4AmzwqHqfkwZT5x5h"",""word"":""citrus fruit vs. not citruis fruit""}"
XovRnkedQGK5QqRNS,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""w6hLdWrwSfaDAR3q8"",""word"":""blue vs. red""}"
